caption,caption_triples
a car parked on a street next to a tree. the street has a parking meter and a lamp post. there are bikes near the tree.	,"a car parked on a street, a street next to a tree, a parking meter on the street, a lamp post on the street, bikes near the tree."
computer and cables on a floor in a room with a heater.	,"computer and cables on a floor, a floor in a room with a heater."
"keyboard, computer monitor, printer, and fax machine on a desk, with a chair against the wall.	","keyboard on a desk, computer monitor on a desk, printer on a desk, fax machine on a desk, a chair against the wall."
"a glass of water on a counter with an apple, a bag of food, and a chair with a leg.	","a glass of water on a counter, an apple on a counter, a bag of food on a counter, a chair with a leg on a counter."
"a drinking bottle with a lid and handle, on a granite	",a drinking bottle with a lid and handle on a granite.
woman wearing a sweater with a wrist pad on her keyboard in front of a monitor. there is a sticky note taped to the monitor and a juice bottle next to it.	,"woman wearing a sweater, a wrist pad on her keyboard, her keyboard in front of a monitor, a sticky note taped to the monitor, a juice bottle next to the monitor."
man with sleeves and a hand on a keyboard in front of a cpu. there are books on the cpu and a mouse next to the keyboard.	,"man with sleeves, a hand on a keyboard, a keyboard in front of a cpu, books on the cpu, a mouse next to the keyboard."
man with a hand on a keyboard in front of a cpu. there is a mouse on the desk and a dish on top of the cpu.	,"man with a hand on a keyboard, a keyboard in front of a cpu, a mouse on the desk, a dish on top of the cpu."
"shelves with books and a baby on them, against a wall with a corkboard and posters	","shelves with books, a baby on shelves, shelves against a wall, a wall with a corkboard, a wall with posters."
computer on a desk with a mouse and cup. there is a computer tower below the desk and lint on the floor.	,"computer on a desk, a desk with a mouse, a desk with a cup, a computer tower below the desk, lint on the floor."
"a rolodex, desk, chair, monitor, and book on a desk. there is a picture of a baby propped up against the monitor.	","a rolodex on a desk, chair on a desk, monitor on a desk, book on a desk, a picture of a baby propped up against the monitor."
computer on floor. floor under computer.	,"computer on floor, floor under computer."
"envelope, soda cup, book, and pen on a desk next to a computer monitor. there is a picture on the desk.	","envelope on a desk, soda cup on a desk, book on a desk, pen on a desk, a desk next to a computer monitor, a picture on the desk."
red computer in a room	,red computer in a room.
sign on a pole next to a man on a sidewalk. there is a parking meter and people on the sidewalk. there is a boy by the parking meter.	,"sign on a pole, a pole next to a man, a man on a sidewalk, a parking meter on the sidewalk, people on the sidewalk, a boy by the parking meter."
"man and people on a sidewalk next to a parking meter. a boy is walking on a street, and he has a jacket on.	","man and people on a sidewalk, a boy walking on a street, a boy with a jacket on."
keyboard and telephone on top of a desk made of books with a computer and mouse next to it. there is a bookshelf with books on it.	,"keyboard and telephone on top of a desk, a desk made of books, a computer next to the desk, mouse next to the desk, a bookshelf with books."
girl next to woman. woman wearing tshirt. picture in album. photo in album. album on lap.	,"girl next to woman, woman wearing tshirt, picture in album, photo in album, album on lap."
a tree casting shadows on the ground with a sign mounted to the tree	,"a tree casting shadows on the ground, a sign mounted to the tree."
a picture of chairs with a table next to it.	,"a picture of chairs, a table next to the chairs."
"an air conditioner next to a wall with a switch, and a reflection on the wall	","an air conditioner next to a wall, a wall with a switch, a reflection on the wall,"
"stand with handles and advertisements, with a tv resting on top of three drawers. the surface of the tv has a reflection, and there is a sign on top of the stand.	","stand with handles, advertisements on the stand, a tv resting on top of three drawers, the surface of the tv has a reflection, a sign on top of the stand,"
"luggage and a bag lying on the floor, with chairs on top of the floor. there is a window with rails, and a table with chairs.	","luggage lying on the floor, a bag on the floor, chairs on top of the floor, a window with rails, a table with chairs,"
"breadbox on a shelf next to a box with kleenex. there is a canister in a drainer, and the sink is also in the drainer.	","breadbox on a shelf, a shelf next to a box with kleenex, a canister in a drainer, a sink in the drainer,"
"toy car on notebooks in shelf, with frames on table and printer on top of table. the table has a wheel.	","toy car on notebooks in shelf, frames on table, printer on top of table, the table has a wheel,"
mouse on a table with a coffee mug and computer. there is a shelf with notebooks and a toy car on top of the notebooks.	,"mouse on a table, a table with a coffee mug, a table with a computer, a shelf with notebooks, a toy car on top of the notebooks,"
"a table with a glass, plate, apples in a bowl, and books	","a table with a glass, a table with a plate, apples in a bowl on the table, books on the table,"
"plants casting a shadow on the ground. there are flowers in a vase on top of a cloth, and more flowers inside the vase.	","plants casting a shadow on the ground, flowers in a vase on top of a cloth, flowers inside the vase,"
flowers in a basket on the ground	,"flowers in a basket on the ground,"
"chair at a table with a mirror and painting on the wall, and a second mirror on the other side of the room. the table has clutter on it.	","chair at a table, a table with a mirror and painting on the wall, a second mirror on the other side of the room, clutter on the table,"
"table with photos, a vase, and a bow on it, and a chair by the table	","table with photos, a vase on the table, a bow on the table, a chair by the table,"
lamp stand on table. table under lamp stand.	,"lamp stand on table, table under lamp stand,"
tv set on a counter with a drawer and socket near it. there are people on the tv set and a stand on the counter.	,"tv set on a counter, a counter with a drawer and socket near the tv set, people on the tv set, a stand on the counter,"
carpet on the floor with writings on a board and a chair with a table.	,"carpet on the floor, writings on a board, a chair with a table,"
"cars with headlights on a road with traffic lights. there is a taxi in the road, and a man on the street.	","cars with headlights on a road, a road with traffic lights, a taxi in the road, a man on the street,"
a taxi on the street with windows by the street and a building with windows	,"a taxi on the street, windows by the street, a building with windows,"
"desk lamp on a table with a compact disk and selotape next to it. there is duct tape on the lamp, and a reminder pinned on a board.	","desk lamp on a table, a table with a compact disk and selotape next to the lamp, duct tape on the lamp, a reminder pinned on a board,"
computer mouse and book on desk next to a computer in a book	,"computer mouse and book on desk, a computer in a book next to the desk,"
lamp stand with a desk lamp on it and duct tape. there are books on a desk and a keyboard on the table.	,"lamp stand with a desk lamp and duct tape, books on a desk, a keyboard on the table,"
a doorway to a building with no lighting; there is a tree in front of the building	,"a doorway to a building with no lighting, a tree in front of the building."
a guy on his way under an underpass at the end of a street with a design; a woman is walking down the street	,"a guy on his way under an underpass, an underpass at the end of a street, a street with a design, a woman walking down the street,"
"window with bars on it, and a pole and another pole on the wall	","window with bars, a pole on the wall, another pole on the wall,"
"a moped with a tire and seat, and a license plate	","a moped with a tire, a moped with a seat, a moped with a license plate,"
"there are four windows on two different buildings. three windows are next to each other on one building, and the fourth window is on a different building. there is also a balcony on one of the buildings.	","four windows on two different buildings, three windows next to each other on one building, the fourth window on a different building, a balcony on one of the buildings,"
"car with a stripe on the ground with a shadow. there is a truck behind the car, and another shadow.	","car with a stripe on the ground, a car with a shadow, a truck behind the car, another shadow,"
a windmill with three blades in front of a tree	,"a windmill with three blades, a windmill in front of a tree,"
"stairs leading up to a platform in front of a building with a windmill. there is a tree in front of the windmill, and the blades of the windmill are spinning.	","stairs leading up to a platform, a platform in front of a building, a building with a windmill, a tree in front of the windmill, blades of the windmill spinning,"
"chicken with a mark on it, on top of a plate with a potato and another potato beside it. there is also a mark on the chicken.	","chicken with a mark on it, a chicken on top of a plate, a plate with a potato, another potato beside the plate, a mark on the chicken,"
person with an arm next to a glass of water on a table with a cake and salad	,"person with an arm, a glass of water on a table, a table with a cake, a table with salad,"
a screen on a wall with a woman and people on the screen	,"a screen on a wall, a screen with a woman, people on the screen,"
a couch with a cushion and a lamp near a rack and fireplace	,"a couch with a cushion, a lamp near a rack, a couch near a fireplace,"
"a coffee maker on a counter with a washing machine and dishwasher under the counter, cabinets above the counter, and a sink on the counter	","a coffee maker on a counter, a washing machine under the counter, a dishwasher under the counter, cabinets above the counter, a sink on the counter,"
"person at computer on top of a table, with a girl in front of the computer and a tower on top of the table. there is a stack of books next to the computer.	","person at computer on top of a table, a girl in front of the computer, a tower on top of the table, a stack of books next to the computer,"
"girl in front of computer with books in a stack. there is a person at the computer, and chairs at the table.	","girl in front of computer, books in a stack, person at the computer, chairs at the table,"
tabletop with a vase and a book on it. there are sunflowers in a vase in front of a lamp with a shade.	,"tabletop with a vase, a book on the tabletop, sunflowers in a vase, a vase in front of a lamp, a lamp with a shade,"
magazine and newspaper on a table with a butter knife and napkin. there is a bag on the table.	,"magazine on a table, newspaper on a table, a butter knife on the table, a napkin on the table, a bag on the table,"
"a cardboard under a pan, and a deep dish pizza in the pan. the pan is filled with the deep dish pizza and there is a spatula in the deep dish pizza.	","a cardboard under a pan, a deep dish pizza in the pan, the pan filled with deep dish pizza, a spatula in the deep dish pizza,"
trees on a sidewalk with a pink building behind a fourth tree. there is a menu on the pink building.	,"trees on a sidewalk, a pink building behind the trees, a fourth tree behind the building, a menu on the pink building,"
building with a window and an archway underneath it. there is a tree outside the building and a ramp near the building. there is a person underneath the building.	,"building with a window, an archway underneath the building, a tree outside the building, a ramp near the building, a person underneath the building,"
