image_id,caption,n,n_objects,n_relations,n_attributes,n_connected_components,hard_negs,x,y,width,height
15,red computer in a room,6,3,2,1,1,"['black computer in a room', 'red computer above a room', 'white computer in a room', 'red computer in a box', 'red computer across a room']",1.0,3.0,797.0,595.0
23,a photo of a building and another building,6,3,3,0,1,"['a photo of a buildaroundg and another building', 'a model of a building and another building', 'a photo of a buildunderg and another building', 'a photo of a bar and another building', 'a photo of a bed and another building']",2.0,0.0,798.0,594.0
59,a board reads eroski and a restaurant sign is on the building,6,4,2,0,2,"['a subdivision reads eroski and a restaurant sign is on the building', 'a board reads eroski and a restaurant sign is on the wall', 'a board reads eroski and a restaurant sign is below the building', 'a board reads eroski and a restaurant sign is on the corner', 'a board reads eroski and a restaurant sign is inside the building']",347.0,0.0,450.0,397.0
79,a table and a chair with a light over the table and the chair at the table,6,3,3,0,1,"['a table and a chair with a ultraviolet over the table and the chair at the table', 'a row and a chair with a light over the table and the chair at the table', 'a table and a chair with a light at the table and the chair at the table', 'a table and a chair with a light across the table and the chair at the table', 'a table and a stool with a light over the table and the chair at the table']",1.0,1.0,311.0,448.0
94,a napkin next to a plate on a table,6,4,2,0,2,"['a napkin next to a plate under a table', 'a case next to a plate on a table', 'a napkin next to a plate on a center', 'a napkin next to a plate on a line', 'a napkin next to a plate below a table']",8.0,19.0,490.0,353.0
117,a mirror on a door and another mirror on some doors,6,4,2,0,2,"['a mirror inside a door and another mirror on some doors', 'a mirror on a wall and another mirror on some doors', 'a foot on a door and another mirror on some doors', 'a mirror on a gate and another mirror on some doors', 'a light on a door and another mirror on some doors']",541.0,25.0,258.0,513.0
119,"a picture on the wall, with a photo of the same picture",6,3,2,1,1,"['a picture on the screen, with a photo of the same picture', 'a picture on the bar, with a photo of the same picture', 'a picture inside the wall, with a photo of the same picture', 'a book on the wall, with a photo of the same picture', 'a picture on the wall, with a photo of the different picture']",146.0,6.0,245.0,409.0
120,a pillow on a sofa and a sofa2 on the ground,6,4,2,0,2,"['a pillow under a sofa and a sofa2 on the ground', 'a pillow on a cot and a sofa2 on the ground', 'a pillow on a sofa and a sofa2 on the wall', 'a pillow below a sofa and a sofa2 on the ground', 'a pillow on a bench and a sofa2 on the ground']",103.0,276.0,614.0,320.0
131,the leg of a person and the head of another person,6,4,2,0,2,"['the leg of a parent and the head of another person', 'the arm of a person and the head of another person', 'the leg of a person and the face of another person', 'the leg of a person and the skeleton of another person', 'the leg of a beast and the head of another person']",208.0,124.0,574.0,374.0
145,car on a road with light poles,6,3,2,1,1,"['truck on a road with light poles', 'car below a road with light poles', 'car on a hill with light poles', 'bike on a road with light poles', 'car across a road with light poles']",1.0,198.0,796.0,399.0
158,"building on a building, with a wall on it. there is sunligt.",6,3,3,0,1,"['building on a building, with a billboard on it. there is sunligt.', 'building inside a building, with a wall on it. there is sunligt.', 'window on a building, with a wall on it. there is sunligt.', 'water on a building, with a wall on it. there is sunligt.', 'building on a building, with a room on it. there is sunligt.']",7.0,1.0,559.0,364.0
228,a picture hanging on a wall and a painting on another wall,6,4,2,0,2,"['a newspaper hanging on a wall and a painting on another wall', 'a picture hanging on a room and a painting on another wall', 'a picture hanging on a wall and a sculpture on another wall', 'a picture hanging across a wall and a painting on another wall', 'a picture hanging on a branch and a painting on another wall']",0.0,0.0,271.0,290.0
228,flowers on a coffee table and a pamphlet on a table,6,4,2,0,2,"['flowers on a coffee wreath and a pamphlet on a table', 'flowers below a coffee table and a pamphlet on a table', 'flowers on a coffee table and a text on a table', 'flowers inside a coffee table and a pamphlet on a table', 'flowers on a coffee head and a pamphlet on a table']",233.0,209.0,212.0,268.0
249,painting hanging on wall and heater above floor,6,4,2,0,2,"['view hanging on wall and heater above floor', 'painting hanging on screen and heater above floor', 'painting hanging on wall and heater in floor', 'painting hanging on wall and heater under floor', 'painting hanging on wall and light above floor']",0.0,0.0,799.0,598.0
279,tree behind building with window in corner,6,4,2,0,2,"['tree behind building with window in place', 'ivy behind building with window in corner', 'tree behind water with window in corner', 'tree behind building with foot in corner', 'tree behind building with grill in corner']",0.0,4.0,799.0,448.0
286,"a bowl on top of a table, and a basket of bread.",6,4,2,0,2,"['a bowl on top of a bank, and a basket of bread.', 'a pot on top of a table, and a basket of bread.', 'a bowl on top of a table, and a basket of milk.', 'a bowl on top of a table, and a box of bread.', 'a bowl on top of a table, and a basket of pork.']",56.0,0.0,418.0,320.0
352,a pumpkin sitting on a porch at the top of a wooden stairway,6,3,2,1,1,"{'a pepper sitting on a porch at the top of a wooden stairway', 'a pumpkin sitting on a hill at the top of a wooden stairway', 'a pumpkin sitting on a porch at the top of a wooden building', 'a pumpkin sitting on a board at the top of a wooden stairway', 'a pumpkin sitting on a porch at the top of a wooden bed'}",57.0,100.0,740.0,497.0
382,multiple bottles on a desk,6,3,2,1,1,"['multiple bottles on a bed', 'multiple bottles inside a desk', 'single bottles on a desk', 'multiple bottles across a desk', 'multiple bottles on a bench']",483.0,370.0,315.0,228.0
387,a photo of a child on a monitor on a table,6,4,2,0,2,"['a image of a child on a monitor on a table', 'a photo of a family on a monitor on a table', 'a photo of a girl on a monitor on a table', 'a photo of a child on a monitor on a spectrum', 'a photo of a child on a boss on a table']",0.0,256.0,201.0,276.0
402,restaurant with a chair next to another chair with a center,6,4,2,0,2,"['restaurant with a stand next to another chair with a center', 'restaurant with a chair next to another chair with a corner', 'room with a chair next to another chair with a center', 'restaurant with a chair next to another chair with a right', 'arm with a chair next to another chair with a center']",578.0,198.0,221.0,400.0
448,bus with headlight and bumper,6,3,3,0,1,"['bus with flash and bumper', 'bus with headlight and car', 'limited with headlight and bumper', 'bus with torch and bumper', 'bus with headlight and trailer']",136.0,115.0,639.0,480.0
452,car with shadow on street and person walking,6,4,2,0,2,"['car with shadow on pike and person walking', 'cat with shadow on street and person walking', 'tank with shadow on street and person walking', 'car with shadow on street and ground walking', 'car with shadow on interstate and person walking']",2.0,1.0,774.0,411.0
475,pipe on ceiling and light on wall,6,4,2,0,2,"['pipe on ceiling and light on room', 'pipe on ceiling and carrier on wall', 'pipe across ceiling and light on wall', 'pipe on ceiling and light on park', 'pipe below ceiling and light on wall']",7.0,3.0,601.0,572.0
476,shadow of tree on road and shadow2,6,4,2,0,2,"['shadow of ivy on road and shadow2', 'shadow of tree below road and shadow2', 'shadow of rosemary on road and shadow2', 'shadow of tree inside road and shadow2', 'shadow of tree on wall and shadow2']",1.0,112.0,793.0,483.0
