image_id,caption,n,n_objects,n_relations,n_attributes,n_connected_components,hard_negs,x,y,width,height
40,"table with photos, a vase, and a bow on it, and a chair by the table",10,5,5,0,1,"['table with photos, a vase, and a couch on it, and a chair by the table', 'couch with photos, a vase, and a bow on it, and a chair by the table', 'bow with photos, a vase, and a table on it, and a chair by the bow', 'table with photos, a vase, and a bow on it, and a couch by the table', 'table with photos, a vase, and a sofa on it, and a chair by the table']",0.0,224.0,559.0,561.0
50,computer mouse and book on desk next to a computer in a book,10,5,5,0,1,"['computer mouse and computer tower on desk next to a computer in a computer tower', 'folder mouse and book on desk next to a folder in a book', 'computer mouse and desk on book next to a computer in a desk', 'computer mouse and push pin on desk next to a computer in a push pin', 'folder and book on desk next to a computer in a book']",121.0,96.0,678.0,503.0
60,"window with bars on it, and a pole and another pole on the wall",10,5,5,0,1,"['window with bars on it, and a building and another pole on the wall', 'window with bars covered with it, and a pole and another pole covered with the wall', 'window with building on it, and a pole and another pole on the wall', 'window with pole on it, and a bars and another bars on the wall', 'pole with bars on it, and a window and another window on the wall']",44.0,0.0,749.0,600.0
194,"a tree next to a building with a window in it, and grass on the ground",10,5,5,0,1,"['a ground next to a building with a window in it, and grass on the tree', 'a grass next to a building with a window in it, and tree on the ground', 'a tree next to a ground with a window in it, and grass on the building', 'a tree next to a building with a ground in it, and grass on the window', 'a tree next to a buildholdsg with a wholdsdow holds it, and grass on the ground']",130.0,15.0,249.0,301.0
246,"tree with leaves, shadows on a parking lot, car and women",10,6,4,0,2,"['shadows with leaves, tree on a parking lot, car and women', 'tree with vehicle, shadows on a parking lot, car and women', 'car with leaves, shadows on a parking lot, tree and women', 'tree with leaves, vehicle on a parking lot, car and women', 'vehicle with leaves, shadows on a parking lot, car and women']",2.0,0.0,797.0,599.0
277,"man with a beard and another beard on his lips, in front of a wall",10,5,5,0,1,"['man with a beard and another beard behind his lips, in frbehindt of a wall', 'man with a beard and another beard on his lips, behind a wall', 'man with a wall and another wall on his lips, in front of a beard', 'man with a beard and another beard on his wall, in front of a lips', 'wall with a beard and another beard on his lips, in front of a man']",14.0,11.0,602.0,466.0
312,"car with a wheel and a window, parked by a sidewalk with snow on it",10,5,5,0,1,"['slush with a wheel and a window, parked by a sidewalk with snow on it', 'wheel with a car and a window, parked by a sidewalk with snow on it', 'sidewalk with a wheel and a window, parked by a car with snow on it', 'car with a wheel and a window, parked by a sidewalk with black car on it', 'car with a concrete and a window, parked by a sidewalk with snow on it']",259.0,66.0,538.0,532.0
421,a tree trunk on the sidewalk next to a bench and a streetlight. the sidewalk is next to a street.,10,5,4,1,1,"['a tree trunk on the bench next to a sidewalk and a streetlight. the bench is next to a street.', 'a tree trunk on the street next to a bench and a sidewalklight. the street is next to a sidewalk.', 'a street on the sidewalk next to a bench and a tree trunklight. the sidewalk is next to a tree trunk.', 'a tree trunk on the sidewalk next to a street and a benchlight. the sidewalk is next to a bench.', 'a sidewalk on the tree trunk next to a bench and a streetlight. the sidewalk is next to a street.']",0.0,0.0,797.0,597.0
568,beer in a glass on top of a table next to a chair with a plant behind it,10,5,5,0,1,"['beer in a plant on top of a table next to a chair with a glass behind it', 'beer in a glass on top of a plant next to a chair with a table behind it', 'plant in a glass on top of a table next to a chair with a beer behind it', 'table in a glass on top of a beer next to a chair with a plant behind it', 'beer in a glass behind a table next to a chair with a plant on top of it']",265.0,69.0,535.0,530.0
619,"person, another person, and another person using a crosswalk, and another person walking a dog",10,6,4,0,2,"['person, another person, and another person using a crosswalk, and another person walking a man', 'person, another person, and another person using a dog, and another person walking a crosswalk', 'man, another man, and another man using a crosswalk, and another man walking a dog', 'person, another person, and another person using a man, and another person walking a dog', 'dog, another dog, and another dog using a crosswalk, and another dog walking a person']",1.0,221.0,194.0,273.0
621,a woman walking on the sidewalk under a light pole and canopy; there is a mailbox on the sidewalk,10,5,4,1,1,"['a sidewalk walking on the woman under a light pole and canopy; there is a mailbox on the sidewalk', 'a pole walking on the sidewalk under a light woman and canopy; there is a mailbox on the sidewalk', 'a mailbox walking on the sidewalk under a light pole and canopy; there is a woman on the sidewalk', 'a woman walking on the pole under a light sidewalk and canopy; there is a mailbox on the pole', 'a woman walking on the canopy under a light pole and sidewalk; there is a mailbox on the canopy']",0.0,175.0,506.0,423.0
879,"building with three windows, and a reflection in one of the windows",10,5,5,0,1,"['building with three reflections, and a window in one of the reflections', 'window with three buildings, and a reflection in one of the windows', 'buildhasg with three whasdows, and a reflection has one of the whasdows', 'buildong with three wondows, and a reflectiin on ine of the wondows', 'buildofg with three wofdows, and a reflection of one in the wofdows']",0.0,3.0,571.0,529.0
940,"man on a board in water with foam, and the sky above",10,5,5,0,1,"['man on a sky in water with foam, and the board above', 'sky on a board in water with foam, and the man above', 'man on a board in water above foam, and the sky with', 'foam on a board in water with man, and the sky above', 'board on a man in water with foam, and the sky above']",77.0,1.0,398.0,312.0
