image_id,caption,n,n_objects,n_relations,n_attributes,n_connected_components,hard_negs,x,y,width,height
15,red computer in a room,6,3,2,1,1,"['Red computer in a room. There is no picture.', 'Red something in a room. There is no computer.', 'A computer that is not red in a room', 'Red computer in a room. There is no scene.', 'Red computer in a room. There is no photo.']",1.0,3.0,797.0,595.0
59,a board reads eroski and a restaurant sign is on the building,6,4,2,0,2,"['A board reads Eros and something is on the building. There is no restaurant sign.', 'A board reads Eros and a restaurant sign is on something. There is no building.', 'A board reads Eros and a restaurant sign is on the building. There is no board.', 'A board reads Eros and a restaurant sign is not on the building', 'A board reads something and a restaurant sign is on the building. There is no Eros.']",347.0,0.0,450.0,397.0
79,a table and a chair with a light over the table and the chair at the table,6,3,3,0,1,"['There is no table and a chair with a light over the table and the chair at the table', 'A table not and a chair with a light over the table not and the chair at the table', 'A table and a chair with a light over the table and the chair at the table. There is no table.', 'A table and a chair with something over the table and the chair at the table. There is no light.', 'A table and a chair with a light not over the table and the chair at the table']",1.0,1.0,311.0,448.0
94,a napkin next to a plate on a table,6,4,2,0,2,"['A napkin next to a plate not on a table', 'A napkin next to a plate on something. There is no table.', 'A napkin next to something on a table. There is no plate.', 'There is no napkin next to a plate on a table', 'A napkin next to a plate on a table. There is no napkin.']",8.0,19.0,490.0,353.0
117,a mirror on a door and another mirror on some doors,6,4,2,0,2,"{'A mirror not on a door and another mirror not on some doors', 'A mirror on something and another mirror on some doors. There is no door.', 'There is no mirror on a door and another mirror on some doors', 'A mirror on a door and another mirror on some doors. There is no mirror.', 'A mirror on a door and another mirror on something. There are no doors.'}",541.0,25.0,258.0,513.0
119,"a picture on the wall, with a photo of the same picture",6,3,2,1,1,"['A picture on the wall, with something of the same picture. There is no photo.', 'A picture on the wall, with a photo of the picture that is not same', 'There is no picture on the wall, with a photo of the same picture', 'A picture not on the wall, with a photo of the same picture', 'A picture on something, with a photo of the same picture. There is no wall.']",146.0,6.0,245.0,409.0
120,a pillow on a sofa and a sofa2 on the ground,6,4,2,0,2,"{'A pillow on something and an another sofa on the ground. There is no sofa.', 'There is no pillow on a sofa and an another sofa on the ground', 'A pillow on a sofa and an another sofa on the ground. There is no pillow.', 'A pillow on a sofa and an another sofa on something. There is no ground.', 'A pillow not on a sofa and an another sofa not on the ground'}",103.0,276.0,614.0,320.0
131,the leg of a person and the head of another person,6,4,2,0,2,"['There is no leg of a person and the head of another person', 'The leg not of a person and the head of another person', 'The leg of a person and the head of another person. There is no leg.', 'The leg of something and the head of another person. There is no person.', 'The leg not of a person and the head not of another person']",208.0,124.0,574.0,374.0
145,car on a road with light poles,6,3,2,1,1,"['Car on a road with poles that are not light', 'Car not on a road with light poles', 'Car on a road with light poles. There are no poles.', 'Car on a road with light poles. There is no car.', 'Car on something with light poles. There is no road.']",1.0,198.0,796.0,399.0
158,"building on a building, with a wall on it. there is sunligt.",6,3,3,0,1,"{'Building on a building, with a wall on it. There is sunlight. There is no sunlight.', 'Building on a building, with a wall on it. There is sunlight. There is no building.', 'Building not on a building, with a wall not on it. There is sunlight.', 'There is no building on a building, with a wall on it. There is sunlight.', 'Building on a building, with something on it. There is sunlight. There is no wall.'}",7.0,1.0,559.0,364.0
228,a picture hanging on a wall and a painting on another wall,6,4,2,0,2,"['A picture hanging on a wall and something on another wall. There is no painting.', 'There is no picture hanging on a wall and a painting on another wall', 'A picture hanging not on a wall and a painting not on another wall', 'A picture hanging on something and a painting on another wall. There is no wall.', 'A picture not hanging on a wall and a painting on another wall']",0.0,0.0,271.0,290.0
228,flowers on a coffee table and a pamphlet on a table,6,4,2,0,2,"['Flowers on a coffee table and a pamphlet on a table. There are no flowers.', 'Flowers on a coffee something and a pamphlet on a table. There is no table.', 'Flowers not on a coffee table and a pamphlet not on a table', 'there are no flowers on a coffee table and a pamphlet on a table', 'Flowers on something and a pamphlet on a table. There is no coffee table.']",233.0,209.0,212.0,268.0
249,painting hanging on wall and heater above floor,6,4,2,0,2,"['There is no painting hanging on wall and heater above floor', 'Painting not hanging on wall and heater above floor', 'Painting hanging on something and heater above floor. There is no wall.', 'Painting hanging on wall and something above floor. There is no heater.', 'Painting hanging on wall and heater above floor. There is no floor.']",0.0,0.0,799.0,598.0
279,tree behind building with window in corner,6,4,2,0,2,"['Tree behind something with window in corner. There is no building.', 'Tree behind building with window in corner. There is no tree.', 'Tree not behind building with window in corner', 'Tree behind building with something in corner. There is no window.', 'There is no tree behind building with window in corner']",0.0,4.0,799.0,448.0
286,"a bowl on top of a table, and a basket of bread.",6,4,2,0,2,"['A bowl on top of a table, and something of bread. There is no basket.', 'There is no bowl on top of a table, and a basket of bread.', 'A bowl not on top of a table, and a basket of bread.', 'A bowl on top of something, and a basket of bread. There is no table.', 'A bowl on top of a table, and a basket of bread. There is no bread.']",56.0,0.0,418.0,320.0
352,a pumpkin sitting on a porch at the top of a wooden stairway,6,3,2,1,1,"['A pumpkin sitting on a porch at the top of a wooden stairway. There is no stairway.', 'A pumpkin sitting on a porch at the top of a wooden stairway. There is no pumpkin.', 'A pumpkin sitting on something at the top of a wooden stairway. There is no porch.', 'A pumpkin not sitting on a porch at the top of a wooden stairway', 'A pumpkin sitting on a porch at the top of a stairway that is not wooden']",57.0,100.0,740.0,497.0
382,multiple bottles on a desk,6,3,2,1,1,"{'Multiple bottles on something. There is no desk.', 'Bottles that are not multiple on a desk', 'There is no multiple bottles on a desk', 'Multiple bottles not on a desk', 'Multiple bottles on a desk. There is no bottle.'}",483.0,370.0,315.0,228.0
387,a photo of a child on a monitor on a table,6,4,2,0,2,"['A photo of a child on a monitor on a table. There is no photo.', 'A photo of a child on a monitor on something. There is no table.', 'A photo of a child on something on a table. There is no monitor.', 'A photo of something on a monitor on a table. There is no child.', 'There is no photo of a child on a monitor on a table']",0.0,256.0,201.0,276.0
402,restaurant with a chair next to another chair with a center,6,4,2,0,2,"{'Restaurant with something next to another chair with a center. There is no chair.', 'Restaurant with a chair not next to another chair with a center', 'Restaurant with a chair next to another chair with something. There is no center.', 'Restaurant with a chair next to another chair with a center. There is no restaurant.', 'There is no restaurant with a chair next to another chair with a center'}",578.0,198.0,221.0,400.0
452,car with shadow on street and person walking,6,4,2,0,2,"{'Car with shadow on something and person walking. There is no street.', 'Car with shadow on street and something walking. There is no person.', 'Car with something on street and person walking. There is no shadow.', 'Car with shadow on street and person walking. There is no car.', 'There is no car with shadow on street and person walking'}",2.0,1.0,774.0,411.0
475,pipe on ceiling and light on wall,6,4,2,0,2,"['Pipe not on ceiling and light not on wall', 'Pipe on ceiling and light on wall. There is no pipe.', 'Pipe on ceiling and light on wall. There is no wall.', 'There is no pipe on ceiling and light on wall', 'Pipe on ceiling and something on wall. There is no light.']",7.0,3.0,601.0,572.0
476,shadow of tree on road and shadow2,6,4,2,0,2,"{'Shadow of tree not on road and another shadow', 'Shadow of something on road and another shadow. There is no tree.', 'Shadow of tree on road and another shadow. There is no shadow.', 'Shadow of tree on something and another shadow. There is no road.', 'There is no shadow of tree on road and another shadow'}",1.0,112.0,793.0,483.0
479,"staircase on a house, with rocks next to it",6,3,2,1,1,"['Staircase on a house, with rocks next to it. There is no staircase.', 'Staircase on a house, with something next to it. There are no rocks.', 'There is no staircase on a house, with rocks next to it', 'Staircase not on a house, with rocks next to it', 'Staircase on a house, with rocks not next to it']",454.0,1.0,345.0,418.0
