image_id,caption,caption_triples,caption_triples_ls,groups,n,n_objects,n_relations,n_attributes,n_connected_components,hard_negs,x,y,width,height
1,a car parked on a street next to a tree. the street has a parking meter and a lamp post. there are bikes near the tree.,"car parked on a street, a street to a tree, the street has a parking meter, the street has a lamp post, bikes near the tree",car parked on a street| a street to a tree| the street has a parking meter| the street has a lamp post| bikes near the tree,"0,1,2,3 | 4",11,6,5,0,1,"['a car parked on a lamp post next to a tree. the lamp post has a parking meter and a street. there are bikes near the tree.', 'a car parked on a street next to a tree. the street has a parking meter and a lamp post. there are bikes on top of the tree.', 'a car parked on a bikes next to a tree. the bikes has a parking meter and a lamp post. there are street near the tree.', 'a car parked on a tree next to a street. the tree has a parking meter and a lamp post. there are bikes near the street.', 'a lamp post parked on a street next to a tree. the street has a parking meter and a car. there are bikes near the tree.']",249,0,550,516
5,"keyboard, computer monitor, printer, and fax machine on a desk, with a chair against the wall.","keyboard on a desk, computer monitor on a desk, printer on a desk, fax machine on a desk, a chair against the wall",keyboard on a desk| computer monitor on a desk| printer on a desk| fax machine on a desk| a chair against the wall,,12,7,5,0,2,"['keyboard, wall, printer, and fax machine on a desk, with a chair against the computer monitor.', 'keyboard, computer monitor, printer, and fax machine on a chair, with a desk against the wall.', 'wall, computer monitor, printer, and fax machine on a desk, with a chair against the keyboard.', 'keyboard, computer monitor, printer, and desk on a fax machine, with a chair against the wall.', 'keyboard, computer monitor, wall, and fax machine on a desk, with a chair against the printer.']",120,9,673,589
6,"a glass of water on a counter with an apple, a bag of food, and a chair with a leg.","a glass of water on a counter, a counter with an apple, a counter with a bag of food, a chair with a leg.",a glass of water on a counter| a counter with an apple| a counter with a bag of food| a chair with a leg.,,12,7,5,0,2,"['a glass of water under a counter with an apple, a bag of food, and a chair with a leg.', 'a glass of water on a table with an apple, a bag of food, and a chair with a leg.', 'a glass of water on a table top with an apple, a bag of food, and a chair with a leg.', 'a table of water on a counter with an apple, a bag of food, and a chair with a leg.', 'a glass of water on a counter with an chair, a bag of food, and a apple with a leg.']",0,0,799,531
7,woman wearing a sweater with a wrist pad on her keyboard in front of a monitor. there is a sticky note taped to the monitor and a juice bottle next to it.,"woman wearing a sweater, a wrist pad on her keyboard, her keyboard in front of a monitor, a sticky note taped to the monitor, a juice bottle next to monitor.",woman wearing a sweater| a wrist pad on her keyboard| a wrist pad in front of a monitor| a sticky note taped to the monitor| a juice bottle next to monitor.,,13,7,5,1,2,"['woman wearing a sweater with a wrist pad on her note in front of a monitor. there is a sticky keyboard taped to the monitor and a juice bottle next to it.', 'woman wearing a sweater with a wrist pad on her keyboard in front of a monitor. there is a sticky juice bottle taped to the monitor and a note next to it.', 'woman wearing a sweater with a wrist pad on her keyboard in front of a note. there is a sticky monitor taped to the note and a juice bottle next to it.', 'woman wearing a monitor with a wrist pad on her keyboard in front of a sweater. there is a sticky note taped to the sweater and a juice bottle next to it.', 'note wearing a sweater with a wrist pad on her keyboard in front of a monitor. there is a sticky woman taped to the monitor and a juice bottle next to it.']",2,255,390,341
8,man with sleeves and a hand on a keyboard in front of a cpu. there are books on the cpu and a mouse next to the keyboard.,"man with sleeves, a hand on a keyboard, a keyboard in front of a cpu, books on the cpu, a mouse next to the keyboard.",man with sleeves | man with a hand on a keyboard| a keyboard in front of a cpu| books on the cpu| a mouse next to the keyboard,,13,7,5,1,2,"['man with sleeves and a hand next to a keyboard in front of a cpu. there are books on the cpu and a mouse on the keyboard.', 'man with sleeves and a hand on a boy in front of a cpu. there are books on the cpu and a mouse next to the keyboard.', 'man with sleeves and a boy on a keyboard in front of a cpu. there are books on the cpu and a mouse next to the keyboard.', 'man with sleeves and a hand on a books in front of a cpu. there are keyboard on the cpu and a mouse next to the books.', 'boy with sleeves and a hand on a keyboard in front of a cpu. there are books on the cpu and a mouse next to the keyboard.']",2,32,454,566
9,"shelves with books and a baby on them, against a wall with a corkboard and posters","shelves with books, a baby on books, a bady against a wall, a wall with a corkboard, a wall with posters",shelves with books| a baby on books| a bady against a wall| a wall with a corkboard| a wall with posters,,11,6,5,0,1,"['shelves with wall and a baby on them, against a books with a corkboard and posters', 'shelves with books and a baby on them, against a wall with a corkboard and bookshelf', 'shelves with books and a wall on them, against a baby with a corkboard and posters', 'baby with books and a shelves on them, against a wall with a corkboard and posters', 'cork-board with books and a baby on them, against a wall with a corkboard and posters']",22,120,243,351
11,computer on a desk with a mouse and cup. there is a computer tower below the desk and lint on the floor.,"computer on a desk, a desk with a mouse, a desk with a cup, a computer tower below the desk,  and a computer tower below the lint, lint on the floor.","computer on a desk with a mouse and cup, there is a computer tower below the desk and lint on the floor.",,12,7,5,0,2,"['computer on a computer tower with a mouse and cup. there is a desk below the computer tower and lint on the floor.', 'computer on a desk with a mouse and cup. there is a table below the desk and lint on the floor.', 'lint on a desk with a mouse and cup. there is a computer tower below the desk and computer on the floor.', 'computer on a desk with a table and cup. there is a computer tower below the desk and lint on the floor.', 'computer on a cup with a mouse and desk. there is a computer tower below the cup and lint on the floor.']",8,16,597,517
13,"a rolodex, desk, chair, monitor, and book on a desk. there is a picture of a baby propped up against the monitor.","a rolodex on a desk, chair on a desk, monitor on a desk, book on a desk, a picture of a baby propped up against the monitor.",a rolodex on a desk| chair on a desk| monitor on a desk| book on a desk| a picture of a baby propped up against the monitor. ,,12,7,5,0,2,"['a rolodex, desk, chair, monitor, and book on a desk. there is a picture of a computer screen propped up against the monitor.', 'a rolodex, desk, chair, baby, and book on a desk. there is a picture of a monitor propped up against the baby.', 'a rolodex, desk, chair, photograph, and book on a desk. there is a picture of a baby propped up against the photograph.', 'a rolodex, desk, chair, min front ofitor, and book in front of a desk. there is a picture of a baby propped up against the min front ofitor.', 'a rolodex, desk, chair, monitor, and book on a desk. there is a picture of a photograph propped up against the monitor.']",3,53,796,544
13,computer on floor. floor under computer.,computer on floor. floor under computer.,computer on floor| floor under computer. ,,4,2,2,0,1,"['computer on cpu. cpu under computer.', 'floor on computer. computer under floor.', 'computer under floor. floor on computer.', 'computer on hard drive. floor under computer.', 'hard drive on floor. floor under computer.']",237,391,402,208
14,"envelope, soda cup, book, and pen on a desk next to a computer monitor. there is a picture on the desk.","envelope on a desk, soda cup on a desk, book on a desk, pen on a desk, a desk next to a computer monitor, a picture on the desk.",envelope on a desk| soda cup on a desk| book on a desk| pen on a desk| a desk next to a computer monitor| a picture on the desk.,,12,7,5,0,2,"['envelope, soda cup, desk, and pen on a book next to a computer monitor. there is a picture on the desk.', 'envelope, soda cup, photo, and pen on a desk next to a computer monitor. there is a picture on the desk.', 'envelope, soda picture, book, and pen on a desk next to a computer monitor. there is a cup on the desk.', 'table, soda cup, book, and pen on a desk next to a computer monitor. there is a picture on the desk.', 'envelope, soda cup, book, and photo on a desk next to a computer monitor. there is a picture on the desk.']",2,6,797,593
